nome_cliente,valor_inadimplencia,dias_inadimplencia,tipo_risco,regiao
Benjamim Ferreira,12217.79,195,Crítico,Norte
Sabrina Peixoto,12064.91,155,Crítico,Oeste
Gustavo Rodrigues,4358.33,202,Crítico,Leste
Gabriel Azevedo,732.94,123,Médio,Sul
Anthony Ribeiro,1213.63,32,Médio,Sul
Laís Aragão,3902.91,395,Alto,Oeste
Dra. Cecília Pires,2496.27,225,Alto,Sul
Hadassa Vieira,1871.92,101,Alto,Sul
Luana Freitas,1375.98,193,Médio,Leste
Ana Luiza Casa Grande,1117.33,44,Médio,Sul
Thiago da Mota,723.32,20,Baixo,Sul
Enzo Gabriel Siqueira,874.61,59,Médio,Sul
Dr. Ian Novaes,1130.02,109,Alto,Sul
Sophia Casa Grande,5443.8,308,Alto,Centro
Pedro Miguel Souza,746.23,62,Baixo,Norte
Bruno Correia,8255.26,216,Crítico,Sul
Catarina Nunes,8896.55,123,Crítico,Centro
Sr. João Vitor Monteiro,2916.91,173,Alto,Norte
Nicole Pires,1080.19,64,Médio,Sul
Sr. Davi Miguel Mendonça,1083.14,50,Médio,Oeste
Eduarda Nunes,1196.21,215,Alto,Sul
Olívia Costa,231.42,26,Baixo,Oeste
Beatriz da Paz,13316.6,104,Crítico,Centro
Melina Santos,629.64,44,Médio,Sul
Jade Sampaio,1952.36,132,Alto,Leste
Enzo Azevedo,714.35,49,Baixo,Leste
Sr. Thiago Machado,9597.01,45,Crítico,Centro
Vinícius Novaes,474.54,80,Médio,Norte
Ana Cecília Barbosa,1490.9,304,Alto,Oeste
Sra. Lavínia da Conceição,1327.01,97,Médio,Norte
Arthur Miguel Fonseca,3580.3,169,Alto,Norte
Juan Azevedo,4288.41,234,Crítico,Norte
Sra. Olívia Farias,3425.35,144,Alto,Centro
Pietra da Cruz,2368.85,94,Alto,Centro
Mateus Rocha,3478.35,55,Alto,Norte
Natália Moraes,272.57,63,Médio,Leste
Luan das Neves,2977.08,2,Alto,Oeste
Yago Leão,11448.93,400,Crítico,Norte
Pedro Miguel Nunes,714.84,21,Baixo,Leste
Srta. Kamilly Gonçalves,394.2,45,Baixo,Oeste
Maria Isis Leão,2845.09,72,Alto,Oeste
Maria Vitória Fonseca,8239.95,325,Crítico,Norte
Davi Miguel Abreu,2303.81,190,Alto,Leste
Caleb Costela,1160.29,61,Médio,Sul
Luiza Pereira,220.4,23,Baixo,Leste
Benício Santos,734.55,1,Baixo,Leste
Catarina Melo,1096.65,68,Médio,Norte
Isabela Martins,950.9,129,Médio,Centro
Maria Sophia Monteiro,3666.5,61,Alto,Oeste
Théo Novaes,624.28,9,Médio,Centro
Juliana Souza,1403.53,65,Alto,Leste
Dra. Cecília Abreu,3707.46,104,Alto,Sul
Vitor Hugo Aragão,8641.26,129,Crítico,Norte
Fernando Oliveira,564.5,20,Baixo,Oeste
Arthur Miguel Andrade,764.8,183,Médio,Norte
Luiz Miguel Siqueira,260.39,3,Baixo,Leste
Srta. Melina Viana,623.73,15,Baixo,Sul
Ryan Ramos,1356.12,54,Médio,Leste
Ravi Farias,10360.0,427,Crítico,Leste
Bruno Jesus,3979.93,104,Alto,Centro
Maria Laura Garcia,287.94,12,Baixo,Norte
Carolina Mendes,1049.98,86,Médio,Centro
Maria Cecília Guerra,15567.47,515,Crítico,Norte
Luara Nunes,3071.6,120,Alto,Sul
Sra. Ana Cecília Costa,1941.7,170,Médio,Oeste
Cecília da Cruz,1585.17,85,Médio,Oeste
Benjamin Pacheco,3899.13,113,Alto,Centro
Rebeca da Luz,6960.06,458,Crítico,Oeste
Maria Luiza Araújo,225.6,23,Baixo,Norte
Luísa Lopes,1590.46,63,Médio,Centro
Stephany Castro,444.54,1,Baixo,Centro
Diego Moreira,1314.93,177,Alto,Oeste
Stephany Sá,236.09,16,Baixo,Oeste
Dra. Manuela Oliveira,263.74,244,Baixo,Leste
Bianca Rios,4144.56,196,Crítico,Leste
Henry Gabriel Monteiro,650.04,20,Baixo,Sul
José Pedro Nogueira,15388.63,208,Crítico,Leste
Benício Ferreira,577.79,191,Baixo,Leste
Juliana Casa Grande,9915.12,243,Crítico,Centro
Letícia Freitas,182.69,7,Baixo,Leste
José da Cruz,615.12,1,Baixo,Centro
Maria Vitória Moraes,3323.92,310,Alto,Leste
Gabriela Martins,3427.55,88,Alto,Sul
Sr. João Pedro Rocha,520.77,48,Baixo,Oeste
Dr. Noah Azevedo,1307.5,235,Médio,Oeste
Lucas Gabriel Vasconcelos,293.78,17,Baixo,Sul
Daniel Câmara,1017.61,23,Médio,Leste
Yan Costela,926.17,120,Médio,Centro
Juliana Carvalho,1120.1,34,Médio,Oeste
Diego Siqueira,10353.24,321,Crítico,Centro
Fernanda Caldeira,1220.69,37,Médio,Oeste
Dra. Manuela Silveira,4457.79,54,Alto,Centro
Agatha Martins,1847.28,243,Médio,Oeste
Camila Nunes,1591.2,77,Médio,Sul
Vitória Andrade,4044.98,97,Alto,Sul
Maria Clara Silva,1132.47,316,Alto,Centro
Srta. Pietra Borges,1512.13,106,Alto,Sul
Thales Oliveira,3224.22,275,Alto,Centro
Henry Gabriel Pastor,1215.61,42,Médio,Sul
Rael Macedo,1021.76,90,Médio,Sul
Cecília Duarte,1522.66,50,Alto,Oeste
Sr. Antony Costa,1205.26,26,Médio,Centro
Dr. Luiz Otávio Garcia,343.6,15,Baixo,Oeste
Gabriel Moreira,1343.73,95,Alto,Leste
Lunna Melo,1716.33,91,Alto,Leste
Larissa Rios,32221.85,730,Crítico,Norte
Carolina Gomes,524.87,55,Médio,Norte
Ana Liz Moura,5165.66,194,Crítico,Sul
Rafael da Mata,3506.94,85,Alto,Centro
João Felipe Albuquerque,6609.91,201,Crítico,Sul
Lunna Lopes,542.28,130,Baixo,Sul
Sra. Evelyn Costa,9894.35,136,Crítico,Sul
Emanuella Marques,594.4,16,Baixo,Norte
Isabelly da Mata,4295.4,218,Alto,Centro
Dra. Zoe Vargas,5311.24,494,Crítico,Sul
João Gabriel Garcia,18713.96,320,Crítico,Leste
Otto Duarte,803.79,42,Médio,Leste
João Guilherme Casa Grande,421.99,15,Baixo,Norte
Gabriel Alves,383.78,2,Baixo,Leste
Heloisa da Rocha,909.89,6,Baixo,Sul
Mateus Pastor,1061.23,43,Médio,Centro
Bárbara Silveira,476.23,5,Baixo,Centro
Gael Henrique Freitas,675.15,45,Médio,Norte
Valentim Vasconcelos,9014.47,184,Crítico,Oeste
Maria Flor Câmara,1094.81,63,Médio,Sul
Thales Martins,450.23,15,Baixo,Sul
